message_text,category,subcategory,language
Your application on Glassdoor (USA) has been accepted. Can you talk for 2-3 minutes about the income?,Job_Scam,Glassdoor_Spoof,English
"Hello, do you have 2-3 minutes? I have a job offer that can bring a good income to your family.",Job_Scam,Emotional_Hook,English
"Hello, this is [Name] from HR. We have seen your profile and would like to offer you a part-time job.",Job_Scam,Profile_Match,English
"Hi, I'm from. We are hiring social media boosters. Salary paid in USDT/Crypto.",Job_Scam,Crypto_Payment,English
"Hello, I am XXXXX. I'm reaching out from HR about a part-time job for you. Are you looking for work?",Job_Scam,HR_Spoof,English
"Hello, I represent Glassdoor. We have an urgent requirement for social media managers. Apply here.",Job_Scam,Glassdoor_Spoof,English
Digital Interrogation: Keep your camera on and do not leave the room. This is a court-ordered arrest.,Digital_Arrest,Interrogation,English
"Dear Consumer, Power supply to your premises will be affected on 05-MAR-26 from 10:00 AM to 04:00 PM due to maintenance work. Inconvenience regretted. -BESCOM",Electricity_Legitimate,Maintenance_Alert,English
"Dear Consumer, Payment of Rs. 3705 for Account ID 9648875000 is successful via BillDesk on 15-SEP-25. Ref No: BES88231. -BESCOM",Electricity_Legitimate,Payment_Confirmation,English
Bescom Alert: Your bill for AccID 1234567890 is generated. Amt: Rs 1500. Last date to pay: 15-Mar-2026. Dial 1912 for help.,Electricity_Legitimate,Bill_Generation_Alert,English
"Dear Consumer, Greetings from BESCOM! Your bill details: Account ID: 9648875000, Amount: Rs. 3705, Due Date: 20-SEP-2025. Pay on BESCOM Mithra App. -BESCOM",Electricity_Legitimate,Bill_Generation_Alert,English
UPI payment of Rs 40.00 to Chai Point is successful from your Canara Bank A/c XX675. Ref: 1234567890. Call 18004250018 for unauthorized txn.,KYC_Legitimate,UPI Confirmation,English
Jio Careers: New opening for 'Graduate Engineer Trainee' in Navi Mumbai. Apply on Jio Careers portal or app. - JIOJOB,Job_Legitimate,Job_Alert,English
Official RTO Alert: Download the e-Challan app to pay your pending fines and avoid legal action. [Link to APK],Echallan_Scam,APK_Malware,English
RTO VAHAN PARIVAHAN: Your vehicle has a new e-challan. Download the app to view the photo proof.,Echallan_Scam,APK_Malware,English
RTO Vahan Parivahan: Update your mobile number to view your traffic violation history.,Echallan_Scam,Mobile_Update,English
Your complaint (No. 2026XXXX) has been registered on the National Cybercrime Reporting Portal. Track status at cybercrime.gov.in. - CYBERP,Digital_Arrest_Legitimate,Cyber_Awareness,English
"Cybercrime: If you have lost money to a fraud, call 1930 immediately to freeze the transaction. - CYBERP",Digital_Arrest_Legitimate,Cyber_Awareness,English
Cyber Alert: Do not click on suspicious links claiming to be for income tax refunds or electricity bill payments. - CYBERP,Digital_Arrest_Legitimate,Cyber_Awareness,English
Beware of 'Digital Arrest' scams. Police/CBI never ask for money or personal info over video calls. Stay alert! - MH-POL,Digital_Arrest_Legitimate,Cyber_Awareness,English
"Cybercrime Alert: Never share your OTP, PIN, or Password with anyone. Report cyber fraud at www.cybercrime.gov.in or call 1930. - CYBERP",Digital_Arrest_Legitimate,Cyber_Awareness,English
DigiLocker: Your PAN Verification Record is now available in your 'Issued Documents' section. Verify at digilocker.gov.in. - DGLKRP,Digital_Arrest_Legitimate,Document_Confirmation,English
DigiLocker: Consent request from 'HDFC Bank' to access your 'Aadhaar' for KYC. Approve/Reject in your app. - DGLKRP,Digital_Arrest_Legitimate,Document_Confirmation,English
"Security Alert: A new device has logged into your DigiLocker account. If this wasn't you, change your PIN immediately. - DGLKRP",Digital_Arrest_Legitimate,Security_Alert,English
DigiLocker: Your Driving License (MH01XXXXX) has been successfully issued by the Transport Dept and is available in your account. - DGLKRP,Digital_Arrest_Legitimate,Document_Confirmation,English
You have successfully uploaded 'Class X Marksheet' to your DigiLocker Drive. Access it anytime at https://digilocker.gov.in - DGLKRP,Digital_Arrest_Legitimate,Document_Confirmation,English
Your payment of Rs. 500 for No Parking Challan (KA03MG4455) is successful. Ref: 987654321. - Traffic Police,Echallan_Legitimate,Payment Confirmation,English
Payment of Rs. 1000 received for Challan GJ0122334455 (Vehicle GJ01AB0001). Transaction ID: 12345678. - Traffic Police,Echallan_Legitimate,Payment Confirmation,English
Challan No. KA260228998877 is pending for Vehicle KA01MJ9999. Please pay at https://echallan.parivahan.gov.in to avoid court referral.,Echallan_Legitimate,E-Challan Notification,English
Vehicle No. UP14CH1111 booked for Over Speeding at Noida Expressway on 28-02-26. View violation at https://echallan.parivahan.gov.in,Echallan_Legitimate,E-Challan Notification,English
Challan for 'Red Light Jumping' generated against HR51BV2233 on 28/02/2026 14:30. Pay at https://echallan.parivahan.gov.in - Traffic,Echallan_Legitimate,E-Challan Notification,English
"Dear Owner, your payment for Challan No. DL88776655 against Vehicle DL10CB0001 is successful. Thank you for using E-Challan services.",Echallan_Legitimate,Payment Confirmation,English
Challan No. MH260228123456 has been generated against Vehicle No. MH01AB1234. For more details visit https://echallan.parivahan.gov.in - Traffic Police,Echallan_Legitimate,E-Challan Notification,English
Your Ecom Express shipment 11223344 for Reliance Digital is out for delivery. Agent: Sunil (9876543210). - ECOMEX,Courier_Legitimate,Out for Delivery,English
Order 123456789 from Meesho is out for delivery. Keep Rs. 450 ready for COD. Do not pay online via unknown links. - ECOMEX,Courier_Legitimate,Out for Delivery,English
"Dear User, your number won the first prize in our annual lucky draw. Pay Rs 500 tax to receive Rs 5 Lakhs.",Lottery_Scam,Tax_Fee,English
"Your KBC lottery prize of 25 lakhs is waiting for RBI clearance. Pay Rs 25,000 to clear.",Lottery_Scam,RBI_Clearance,English
KBC Lucky Winner: Your number [Number] has won 25 lakhs. Contact KBC Head Office on WhatsApp.,Lottery_Scam,KBC_Spoof,English
"Congratulations! You won 10 lakhs in the KBC Lucky Draw. To claim, pay the 1% processing fee now.",Lottery_Scam,KBC_Draw,English
Traffic Violations Found: 3 pending challans for your vehicle. Total fine Rs 1500. Pay here.,Echallan_Scam,Multiple_Fines,English
Your e-challan is pending for over 30 days. Your case is being sent to Lok Adalat.,Echallan_Scam,Lok_Adalat,English
Court Summons Alert: You have ignored multiple traffic challans. Pay the total fine of Rs 2500 now at [Link].,Echallan_Scam,Court_Summons,English
A traffic challan of Rs 1000 has been issued against your vehicle. Check details and pay: https://lnk.ink/cyidh,Echallan_Scam,Fine_Alert,English
Notice: Pending Traffic Challan for [Vehicle Number]. Click the link to pay the fine of Rs 500.,Echallan_Scam,Fine_Payment,English
Urgent: Your traffic violation fine is overdue. Failure to pay will lead to license suspension. Pay here: https://echallan.paiaahan.icu/ins,Echallan_Scam,License_Suspension,English
Traffic Police Alert: Your vehicle was caught overspeeding. Pay your fine on [Link],Echallan_Scam,Overspeeding,English
Delhi Traffic Police: You have jumped a signal. Pay Rs 2000 fine here: [Phishing Link],Echallan_Scam,Signal_Jumping,English
Traffic Department: You have a pending challan of Rs 300 for no helmet. Pay here: [Link],Echallan_Scam,Helmet_Violation,English
"Dear customer, your Amazon order is stuck due to incomplete payment. Pay Rs 500 now to process.",Courier_Scam,Ecom_Order,English
Amazon Pay: You have won a cashback of Rs 1000. Click to claim into your bank account.,Lottery_Scam,Amazon_Pay,English
Your account has been compromised. Please share your OTP to secure it.,KYC_Suspension,Vishing_Script,English
Congratulations! You have been selected for a work-from-home role with Amazon. Earn Rs 5000 daily. Join here: [Link],Job_Scam,Amazon_WFH,English
"Congratulations! You won 50,000 cashback. Click here to claim directly to your bank account.",Lottery_Scam,Cashback,English
"Amazon Quiz Winner: You won Rs 50,000! Click here to transfer the amount to your UPI account.",Lottery_Scam,Quiz_Winner,English
Congratulations! You won the grand prize in the Flipkart BBD sale. Call [Number] to process.,Lottery_Scam,Flipkart_Spoof,English
Congratulations! You are the winner of a brand new car in the Amazon Festive Sale. Contact [Number].,Lottery_Scam,Amazon_Festive,English
Amazon Rewards: You have been selected as the winner of an iPhone 15. Verify your address and pay shipping.,Lottery_Scam,Amazon_Rewards,English
"Surprise! Your Flipkart order has earned you a scratch card worth Rs 10,000. Scratch here.",Lottery_Scam,Ecom_Reward,English
Internshala: Your application for 'Social Media Intern' at Chumbak has been shortlisted. Chat with the employer now: https://intn.sh/c/12,Job_Legitimate,Application_Status,English
Immediate Action Required: Your tax refund is waiting. Click here to confirm your identity.,Tax_Refund_Scam,Urgent_Refund,English
Notice: Immediate legal action for alleged tax fraud. Press 1 to speak to an officer.,Tax_Refund_Scam,Vishing_Threat,English
Your account has now been put on hold due to unusual tax activity. Click to restore access: [Link],Tax_Refund_Scam,Unusual_Activity,English
Tax Fraud Alert: Your name is linked to a tax evasion case. Resolve immediately: [Link],Tax_Refund_Scam,Evasion_Alert,English
Urgent: Your IRS online account has been blocked. Update your information here.,Tax_Refund_Scam,IRS_Spoof,English
Your account has now been put on hold due to pending KYC documents. Restore here: [Link],KYC_Suspension,Account_Hold,English
Important notice regarding your underreported income. Download the attached tax statement to avoid penalty.,Tax_Refund_Scam,Underreported_Income,English
Congratulations! You have been awarded a 12 lakh prize by Indian Railways. Call [Number] to claim.,Lottery_Scam,Railways_Spoof,English
Notice: Electricity supply will be cut today at 9:30 PM. Call our executive for immediate update.,Electricity_Scam,Executive_Call,English
Lucky Draw Alert: Your mobile number has won a cash prize of Rs 5 Lakhs. Contact Mr. [Name] on WhatsApp.,Lottery_Scam,Mobile_Lucky,English
Power supply will be disconnected tonight. Update your dues by calling the electricity officer now.,Electricity_Scam,Due_Update,English
Electricity board: Tonight at 9:30 PM power supply will be cut. Call our officer for billing update.,Electricity_Scam,Billing_Update,English
"Dear consumer, we acknowledge your concern. Please update your bill via this link to avoid disconnection tonight.",Electricity_Scam,Fake_Link,English
Your HSRP request for Vehicle DL3CBM1122 is processed. Home delivery scheduled for 02-Mar-2026. Contact 1800-XXX-XXXX for queries.,Echallan_Legitimate,VAHAN Notification,English
Your Vehicle MH02CD5678 RC is expiring on 15-Mar-2026. Please apply for renewal on https://vahan.parivahan.gov.in to avoid penalty. - RTO India,Echallan_Legitimate,Registration Renewal,English
National Permit for Vehicle NL01AD1122 is granted for 1 year. Download permit from Parivahan portal. - MoRTH,Echallan_Legitimate,VAHAN Notification,English
Police Verification Report for your Passport application is received at RTO. Processing is under progress. - MEAPSP,Digital_Arrest_Legitimate,Passport_Status,English
Your Passport (No. ZXXXX123) has been printed and will be dispatched via Speed Post. Tracking No. will be shared shortly. - MEAPSP,Digital_Arrest_Legitimate,Passport_Status,English
Your appointment for Passport interview at PSK Gurugram is scheduled for 05-Mar-2026 at 09:30 AM. Reach 15 mins early. - MEAPSP,Digital_Arrest_Legitimate,Passport_Status,English
Passport Seva: Your File No. MH123456 is closed due to non-availability of documents. Re-apply with fresh fee. - MEAPSP,Digital_Arrest_Legitimate,Passport_Status,English
Passport Seva: Your application (File No. DE123456) has been granted. Police Verification has been initiated. - MEAPSP,Digital_Arrest_Legitimate,Passport_Status,English
Passport Seva: Your Passport is out for delivery through Speed Post (Tracking: EK123456789IN). - MEAPSP,Digital_Arrest_Legitimate,Passport_Status,English
Cashback of Rs 25 credited to your Paytm wallet for your Gas Bill payment.,Lottery_Legitimate,Paytm_Wallet_Cashback,English
Cashback of Rs 10 credited to your Paytm wallet for your order at Zomato.,Lottery_Legitimate,Paytm_Wallet_Cashback,English
Congrats! Rs. 50 Cashback credited to your Paytm wallet for your DTH Recharge.,Lottery_Legitimate,Paytm_Wallet_Cashback,English
Rs. 100 Cashback credited to your Paytm wallet for your first flight booking.,Lottery_Legitimate,Paytm_Wallet_Cashback,English
Rs. 5 Cashback credited to your Paytm wallet for Scan & Pay at Reliance Digital.,Lottery_Legitimate,Paytm_Wallet_Cashback,English
Paytm: 500 Cashback Points credited for your transaction. Redeem them for deals.,Lottery_Legitimate,Paytm_UPI_Reward,English
Mumbai Police: You have been implicated in a money laundering case. Log in to Skype for arrest.,Digital_Arrest,Police_Spoof,English
Official Warrant: Your arrest is imminent. Pay the refundable fine to stop the police from coming.,Digital_Arrest,Fine_Payment,English
SBI: 554433 is your OTP for high value transaction of Rs 25000.00. OTP is valid for 3 minutes. Do not share with anyone.,KYC_Legitimate,OTP,English
012345 is OTP for txn of INR 5000.00 at AMAZON with your SBI Card ending 9876. OTP is valid for 10 mins. Do not share OTP for security.,KYC_Legitimate,OTP,English
